ac_id,group,criterion_summary,required_evidence_summary,product_module,earliest_phase,gate_dependency,status
SUITE-AC-01,Shared suite,"Requirement ledger and traceability matrix cover 100% of the prompt, including conflicts, corrections, phased/deferred items and acceptance criteria.",Machine-checked zero-unmapped report plus explicit conflict/defer register.,Platform,0A,Gate1,not-started
SUITE-AC-02,Shared suite,"Assistant/Command, Forge and Counsel each launch, work, save/export and recover independently; stopping one never terminates, corrupts or duplicates another.","Standalone and reconnect demo for all three products, including shared-service degradation.",Shared,1,None,not-started
SUITE-AC-03,Shared suite,"Shared protocol, orchestrator, policy, approvals, context/Vault, activity stream, model gateway, MCP, connectors, Link and Glass tokens are versioned reusable packages, not copied app logic.","Package/dependency map, no-cycle check, contract tests, mock adapters and independent build/release evidence.",Shared,1,Gate1,not-started
SUITE-AC-04,Shared suite,"One root-agent conversation hands off across HUD/menu bar, Command chat, launcher, voice, phone, browser/IDE, CLI and Forge/Counsel with one task identity and exactly one active executor.","Cross-interface/cross-device handoff preserving transcript, context, plan, artifacts, approvals; stale/revoked/ambiguous device tests; no lost or duplicate turn.",Shared,1,None,not-started
SUITE-AC-05,Shared suite,"Mac, phone and web show a reconnect-safe Observable Execution Stream with goal, phase, editable plan, agent/model, target, redacted action, evidence, budget, checkpoint and next approval.","Live and replayed run with ordered events, gap recovery and no hidden reasoning or secrets.",Shared,1,None,not-started
SUITE-AC-06,Shared suite,"From every activity surface the user can ask, steer, edit the plan, pause, resume, cancel, stop at a safe boundary or take over; a global kill switch revokes outstanding capabilities.","Interruption tests during streaming, tools, multi-agent fan-out, device handoff, reconnect and pre-external-effect state.",Shared,1,None,not-started
SUITE-AC-07,Shared suite,"MCP is first-class: Forge ships the required host/client plus a narrow optional server, Command governs registry/grants, Counsel exposes only scoped read-only methods.","Protocol/contract suite for discovery, stdio/Streamable HTTP, auth expiry, cancel/reconnect, schema change, malicious server output, injection, per-agent isolation and revoke.",Shared,2,None,not-started
SUITE-AC-08,Shared suite,"Every OAuth-capable integration shows provider, acting account, scopes, token owner/expiry, health, reconnect and revoke; OAuth/OIDC/PKCE behavior is correct and no credential reaches a model or log.","Connect, wrong-account, refresh/expiry, scope-expansion denial, revoke/cascade and secret-scanning tests.",Shared,3,None,not-started
SUITE-AC-09,Shared suite,"Every shipped dependency, model, dataset, font, icon, sound, shader, 3D asset and MCP has pinned provenance and compatible licensing, and the product license is explicit.","LICENSE, THIRD_PARTY_NOTICES, cards, lockfiles, SBOM, provenance report and CI license result.",Platform,1,None,not-started
SUITE-AC-10,Shared suite,"When an authorized web item is inaccessible, Claude asks for the minimum official download with URL, version, format, purpose, sensitivity and license; never credentials or bypass.",Manual-download request card and resumable quarantined import test.,Shared,0A,None,not-started
SUITE-AC-11,Shared suite,Temporary/private sessions read no durable memory and contribute none; configured audio/transcript/screenshot/chat/artifacts expire as disclosed.,"Filesystem/database/vector/cache/backup inspection after expiry, leaving only the pre-disclosed minimal audit tombstone.",Shared,1,None,not-started
SUITE-AC-12,Shared suite,"Offline, connector/model/device failure, low disk, thermal pressure, crash and network partition are visible and recoverable; partial work is never presented as complete.","Fault injection, restart, checkpoint recovery, duplicate suppression and truthful rollback/compensation report.",Shared,1,None,not-started
SUITE-AC-13,Shared suite,A scoped Workspace Context Scope Record captures approved repositories/sources/purposes/providers/retention/egress/expiry once; unchanged in-scope local work is not repeatedly blocked.,"Scope-record lifecycle, expiry, scope-change, revocation and cross-zone-denial tests.",Shared,0A,None,not-started
SUITE-AC-14,Shared suite,"Before Phase 0, Claude proves the complete master requirements file was loaded via path/source, hash, bytes, lines, sentinels and parsed counts, and stops if the client cannot retain it intact.",Hash/size/line/sentinel receipt plus machine-checked zero-unmapped traceability matrix and forced-truncation test.,Platform,0A,Gate1,not-started
WIN-FIRST-AC-01,Shared suite,"Before any suite binary reaches the work Mac, one Windows release candidate completes independent primary journeys for Assistant/Command, Forge, Counsel, Vault and Link on the declared pilot machine.","Signed build/host manifest; synthetic/personal end-to-end journeys with Command stopped; Windows capability, accessibility and limitations report.",Platform,5,Gate3,not-started
WIN-FIRST-AC-02,Shared suite,"Windows validation covers voice/dictation, exact app/browser/Explorer/terminal control, MCP fixtures, drafts/approvals/outbox, Forge, Counsel, Vault, failure, soak and uninstall.","Windows Pilot Gate report with positive/denied/interrupted tests, p50/p95/p99 and resource evidence, residue scan, unresolved risks and Windows-to-macOS delta matrix.",Platform,5,Gate3,not-started
WORK-MAC-GATE-AC-01,Shared suite,"Before the explicit ""Approve work-Mac pilot"" sentence, the work Mac receives no suite binary, launch, pairing, permission request, capture, login item, OAuth, Keychain import or privileged action.","Work-Mac negative inventory/audit receipt, device registry, permission/app/login-item/network checks and owner approval event bound to the exact Mac plan/build hash.",Platform,1,WorkMac,not-started
MAC-NATIVE-AC-01,Shared suite,"Windows evidence never proves Mac-native behavior (AXUIElement, Apple Events, ScreenCaptureKit, Keychain/Touch ID, menu bar, Spaces, notarization); each promoted capability passes native conformance.","Per-capability Windows-to-Mac delta, signed Mac build, native positive/denied/interrupted tests, permissions/rollback evidence and no-inherited-pass assertion.",Platform,6,WorkMac,not-started
LLD-GATE-AC-01,Shared suite,"Every production slice has an approved cited LLD Artifact and Plan hash before its first code, dependency, migration, repo mutation or privileged test; UI work also needs a Design Artifact.","Chronological repository/dependency/infra proof, artifact/approval ledger mapped to each slice's first change and changed-scope invalidation tests.",Platform,1,SliceLLD,not-started
XDEVICE-PRODUCT-AC-01,Shared suite,"Assistant, Forge and Counsel each complete an independently launched primary journey on every released client, truthfully labelling local/remote/review-only/takeover/unavailable steps.","Product x platform x capability matrix; native interactive prototypes; complete journeys with Command stopped; accessibility, offline, degraded and delegated-execution tests.",Link,6,None,not-started
LINK-AC-01,Shared suite,"Every controller class addresses every compatible authorized executor via exact resolution, capability negotiation, signed commands and exactly one active executor; locked ops cannot be bypassed.","Controller-to-executor pairwise matrix across Mac, Windows/Linux, phone/tablet, web and approved remote runtime; ambiguous target, lock, revoke, replay, stale lease and race tests.",Link,6,None,not-started
LINK-AC-02,Shared suite,"Cross-device navigation and handoff preserve session/task, unsent draft, plan, artifacts, review state, approvals and authoritative versions without duplicate execution or cross-zone leakage.","Assistant-Forge-Counsel-Vault journeys across three-plus devices; deep-link, disconnect, stale route, schema mismatch, concurrent steering, wrong-zone and reconnect tests.",Link,6,None,not-started
LINK-AC-03,Shared suite,"Cross-device route open, stream propagation, handoff, acknowledgement and stop/cancel meet approved p50/p95/p99 LAN/WAN budgets and disclose local vs delegated/offline/degraded/takeover state.","Monotonic end-to-end traces, packet-loss/high-latency tests, cold/warm clients, foreground/background transitions, reduced-motion/low-power and local-takeover results.",Link,6,None,not-started
LINK-AC-04,Shared suite,"Multi-target commands preview the exact authorized device set, accounts, lock/presence and capabilities, permit deselection, use per-target idempotency and report each target independently.","Named-group/version-change, new device, exact-preview approve/edit/deny, mixed online/offline/locked, partial failure, cancel, retry, duplicate-delivery and signed per-device receipt tests.",Link,6,None,not-started
CAP-AC-01,Shared suite,"Every connector, MCP, model, device and privileged local adapter registers the complete Capability Broker tuple and one canonical health state; healthy never grants authority.","Registry/schema conformance; wrong-account, stale watermark, scope change, schema change, quota, reauth, offline, revoked and recovery tests with user-visible evidence.",Shared,1,None,not-started
CAP-AC-02,Shared suite,"Every workflow declares required/optional/substitutable dependencies with freshness minima and an approved fallback ladder; results are truthfully complete, fallback, partial, blocked or unknown.",Machine-checked workflow manifests plus single- and multi-dependency fault matrix proving no missing service is silently treated as a successful empty result.,Shared,1,None,not-started
CAP-AC-03,Shared suite,"Automatic plan repair may pick only an equal-or-lower-risk authorized path in the same identity, scope and zone; it never changes provider/account, broadens OAuth or defers a T2/T3 effect.","Provider/account/zone/cost mutation denials, reconnect tests, hash-bound approval invalidation and zero delayed consequential effects.",Shared,1,None,not-started
CAP-AC-04,Shared suite,"NeoSapien, Jira, Slack, Git provider, Figma, CI, calendar, MCP, model, auth, device, storage and observability each pass documented fallback paths plus concurrent-failure chaos journeys.","Capability/Degradation Matrix, adapter fixtures, deterministic recovery trace, exactly-one-executor evidence and source-coverage reconciliation.",Shared,3,None,not-started
PROVIDER-ETHICS-AC-01,Shared suite,"Model/provider fallback uses only authorized owned credentials through the broker and obeys quotas, billing, safety and terms; no key cycling, account farming or rate-limit evasion exists.","Static/config/secret-flow scan, exhausted-quota and multi-provider failover tests, account/scope audit, cost-cap test and provider-terms review.",Shared,1,None,not-started
CAP-CATALOG-AC-01,Shared suite,"Every executable natural-language step resolves to versioned Atomic Action Catalogue entries with target, adapter, pre/postconditions, scopes, risk, idempotency, preview, fallback and linked tests.","Machine-readable catalogue/schema validation, intent-to-capability traces, zero-unclassified shipped-action report and unsupported/takeover tests.",Shared,0A,None,not-started
MAC-COVERAGE-AC-01,Shared suite,"Within the versioned installed-surface and mission corpus, the Mac Surface Matrix classifies every surface class on release-support, health and conformance axes; unknown requests stay unsupported.","Finite-universe manifest, per-device/app coverage report, catalogue-to-runtime/UI/voice conformance, version-drift tests and no-unsupported-everything claim audit.",Assistant,0A,WorkMac,not-started
MEMORY-AC-01,Shared suite,"Assistant, Forge and Counsel stay stateful across restart, compaction, model switch and device handoff by rebuilding a scoped ContextView; no model context or weight is authoritative task state.","Cross-product restart/model-switch/handoff tests showing goal, plan, corrections, evidence, ACL, approval and checkpoint continuity without cross-scope leakage.",Shared,1,None,not-started
MEMORY-AC-02,Shared suite,"Durable memory and learned patterns use a governed proposal lifecycle with explicit scopes; one accidental action, rejected output or raw transcript cannot become a permanent preference.","Proposal/accept/reject/expire/supersede/revoke/rollback tests, this-turn/session/project/always UI, counterexample handling and security-boundary non-learning tests.",Shared,1,None,not-started
MEMORY-AC-03,Shared suite,"Cross-product state uses causal parents, aggregate versions, idempotency, leases/epochs and fencing; offline replicas append proposals only and reconnect restores exactly one executor.","Partition, clock-skew, out-of-order, stale-writer, duplicate-event, crash and tombstone-replay tests with event/checkpoint reconciliation.",Shared,1,None,not-started
MEMORY-AC-04,Shared suite,"The Second-Brain experience answers with citations, as-of time, coverage, unavailable sources, conflicts and fact/snapshot/memory/inference labels; revocation cascades through all derived stores.","Cited recall/proactive-attention evaluation, inaccessible-source test, graph/list parity, source-age assertions and deletion-cascade receipts.",Shared,2,None,not-started
SAN-AC-01,Shared suite,"Every ingress, prompt/model, tool/MCP, UI, log, memory/Vault/vector, cache, preview and export path is mediated by a registered Sanitization Gateway sink; no raw-to-consumer path exists.","Machine-checked data-flow/sink registry, architecture dependency test, filesystem/network instrumentation and deliberate bypass denials.",Shared,1,None,not-started
SAN-AC-02,Shared suite,"Raw Evidence/Quarantine and purpose-bound sanitized views use separate stores, keys and ACLs; each view binds source revision, purpose, consumer, sink, zone, policy version and expiry.","Cross-zone/provider/account tests, storage inspection, wrong-view replay denial and opaque-ID/keyed-digest leakage scan.",Shared,1,None,not-started
SAN-AC-03,Shared suite,"Models receive typed placeholders, never credentials; only the authorized destination adapter rehydrates a secret just in time, and no secret appears in prompts, traces, plans, UI, logs or exports.","Canary credentials across HTTP, shell, Git, cloud, Kubernetes and database fixtures; token-vault isolation and adapter-only rehydration tests.",Shared,1,None,not-started
SAN-AC-04,Shared suite,"Untrusted source instructions stay structurally isolated data and cannot change policy, sanitizer configuration, provider, tools, approvals, recipients or action tiers.","Plain/HTML/script/tool-like JSON, Unicode/bidi/confusable, encoded, image/OCR, transcript, cross-chunk and malicious-MCP injection corpus.",Shared,1,None,not-started
SAN-AC-05,Shared suite,"Ingress is scanned before and after bounded canonicalization; the joined prompt and every model/tool-derived text, code, file, image or attachment is rescanned before display, persistence or action.","Nested archive/zip-bomb limits, base64/URL/compressed/split-secret reconstruction, screenshot/OCR and model-regurgitation tests.",Shared,1,None,not-started
SAN-AC-06,Shared suite,"Locked-screen, wearable and shared-display notifications contain only the approved generic view; logs, telemetry, crash and support paths use allowlisted schemas with no free-form sensitive payloads.","Lock/unlock/screen-share/device matrix, Sentry/PostHog/session-replay configuration audit, crash-dump scan and preview-before-share support bundle.",Shared,1,None,not-started
SAN-AC-07,Shared suite,"Memory, Vault/Obsidian, embeddings and graph contain only sink-authorized sanitized content or evidence pointers; no raw-then-redact indexing path exists.","Database/vector-neighbor/graph/property/Obsidian scans with seeded secrets, useful-code-context retrieval and cross-zone denial tests.",Shared,1,None,not-started
SAN-AC-08,Shared suite,"Every model-provider egress, training job, export or external write is rebuilt from a destination-bound view, rescanned and approved against the final payload hash with omissions visible.","Slack/email/Jira/Git/support/training fixtures, changed-recipient/payload invalidation and re-identification warning tests.",Shared,1,None,not-started
SAN-AC-09,Shared suite,"Source correction, revocation or deletion traverses the Sanitization Lineage DAG and removes or invalidates raw items, views, prompts, caches, memories, vectors, graph data, replicas and backups.","Derivative inventory before/after, index rebuild, offline-device/backup expiry, provider-limitation disclosure and tombstone content scan.",Shared,1,None,not-started
SAN-AC-10,Shared suite,"Each sanitizer release reports per-class precision/recall/FPR/FNR, residual leakage and calibration plus citation, retrieval, code and latency utility loss; canaries have zero escapes.","Versioned golden/adversarial corpus, baseline comparison, threshold approval, false-positive override review and rollback.",Shared,1,None,not-started
SAN-AC-11,Shared suite,"Gateway failure, stale policy state or unclassified high-risk content blocks new model egress, persistence and external action without blocking unrelated local controls; the UI explains it.",Gateway outage/version-skew/timeout/disk-full tests and zero unsafe-fallback assertion.,Shared,1,None,not-started
SAN-AC-12,Shared suite,"A Flask/FastAPI/Vite/Next local preview runs unprivileged and sanitized, binds only to loopback, disables unsafe debug/reloader behavior and cannot reach raw quarantine or the executor.","Listener/process/environment scan; 0.0.0.0/LAN/tunnel, debugger, DNS-rebinding, CSRF/WebSocket, path-traversal and privileged-access denial tests.",Shared,2,None,not-started
SAN-AC-13,Shared suite,"Compliance evidence records classification, purpose, authority/consent, provider/region, retention/legal hold, deletion/export and policy version without claiming legal compliance.","Data inventory/flow map, consent/retention fixtures, cross-border/provider delta, legal-hold/deletion conflict and product-language audit.",Shared,1,None,not-started
RESEARCH-AC-01,Shared suite,"Before any architecture or design recommendation, the Seed Research Coverage Ledger gives every named tool, model, MCP, repo, site, video and source URL a stable ID and a status with reason.","Machine-extracted prompt/source inventory, canonicalization report, complete cited ledger and zero-unaccounted-seed assertion.",Platform,0A,Gate1,not-started
RESEARCH-AC-02,Shared suite,"Each seed and discovered reference records identity, URL, prompt location, access date/result, version, license, security, maturity, verified capabilities and a non-blank research status with reason.","Zero-blank-status ledger, source citations, query/result manifests, inaccessible-item request cards, worker disagreement log and separate baseline-versus-deep-review report.",Platform,0A,Gate1,not-started
ARTIFACT-DOC-AC-01,Shared suite,"After approved Phase 0 kickoff, maintain a private Artifact Index and use authorized Claude Artifacts wherever they improve review, each with a portable versioned companion and citations.","Artifact Index, review/version-diff trail, canonical Markdown/JSON/CSV/Mermaid or equivalent exports, capability-fallback report and private/synthetic-data access audit.",Platform,0A,None,not-started
BRAND-AC-01,Shared suite,"Phase 0A evaluates exactly the six supplied classical candidates with correct labels, keeps INSHERON and Aurethos retired, and proves one coherent family before any permanent identifier.","Dated ranked evidence table, collision/search receipts, pronunciation/false-wake corpus, retired-name regression test, placeholder-only pre-gate artifact and selected-family manifest.",Platform,0A,Brand,not-started
RESEARCH-GITHUB-AC-01,Shared suite,"The Jarvis/Ultron census records every canonical repository URL returned by each dated GitHub query/page with ID, rank, fork/archived state, cap status, dedup key and include/exclude reason.","Query manifest, raw paginated result files, zero-unaccounted-return assertion, deduplication report, cap/gap disclosure and cited shortlist decisions.",Platform,0A,Gate1,not-started
REPO-BOOTSTRAP-AC-01,Shared suite,"Only after Brand and Gate 1, authenticate and display the actual GitHub owner before proposing abheet19/{{family_slug}}, preview exact settings and create nothing until the T2 payload is approved.","Wrong-owner/name-collision/visibility tests, exact create preview and approval receipt, provider-returned repository identity, protection audit and rendered README review.",Platform,1,Gate1,not-started
COMMAND-AC-01,Personal assistant and Command,Command is an operational dashboard and persistent streaming chat for all three products; every registered capability is inspectable through one registry-driven typed target/preview/approval surface.,"Automated capability-registry inspectability at 100%, allowed-invocation/denial/degraded coverage, no-wildcard authority report and chat-to-product demos.",Command,1,None,not-started
COMMAND-AC-02,Personal assistant and Command,"Command includes Today/Attention, Task Candidates, Review Companion, tasks/agents/DAGs, projects, Forge, Counsel, search, Workstation Control Center, skills/MCP, devices, models and Vault.",Approved Artifact/LLD plus navigation and empty/loading/degraded/error/stale/outcome-unknown/success state coverage.,Command,1,None,not-started
COMMAND-AC-03,Personal assistant and Command,"Dashboard chat supports streaming text/voice, barge-in, attachments and screen/file context, context/egress receipts, model/effort selection, plan editing, approvals, branching and workflow launch.",End-to-end tests with reconnect and cross-product state preservation.,Command,1,None,not-started
