section_id,title,line_start,one_line_scope,primary_product_module,phase_first_touched,linked_ac_ids,notes
1,1. Mission and product standard,59,"Mission and product standard for the whole suite: Windows-first pilot, never-silent-sender rule, three modular products over shared protocols, local-first models.",Shared,0A,SUITE-AC-02,
1.1,1.1 Productization and commercial-readiness boundary,89,"Productization boundary: private developer preview vs personal release vs any later commercial/team release, and what must not weaken local-first defaults.",Platform,0A,,
1.2,1.2 Windows-first pilot and work-Mac promotion boundary,95,Windows-first pilot machine inventory and the hard work-Mac promotion boundary that no Windows result may substitute for.,Platform,0A,WIN-FIRST-AC-01;WIN-FIRST-AC-02;WORK-MAC-GATE-AC-01;MAC-NATIVE-AC-01;DESIGN-WINDOWS-AC-01;FORGE-AC-10,
2,2. Non-negotiable execution contract,105,"Non-negotiable execution contract: questions and approvals before code, evidence over claims, gates, scope records, and no silent weakening.",Platform,0A,SUITE-AC-13;SUITE-AC-14;LLD-GATE-AC-01;DESIGN-GATE-AC-01,
3,3. First-run discovery: find the context instead of making me reconstruct it,140,"First-run discovery of authorized context, honest access reporting, and the treatment of every personal/account/repository assertion as unverified until confirmed.",Platform,0A,SUITE-AC-10;SUITE-AC-13;REPO-BOOTSTRAP-AC-01;NEO-MCP-AC-01,
4,4. My work context and required daily workflow,191,The user's QuillBot work context and the required daily workflow the suite must support end to end.,Shared,0A,,
4.1,4.1 Recommended trigger model and day-to-day QuillBot state machine,221,Recommended trigger model and the ordered QuillBot state machine from verified Jira intake through sealed Context Pack to Forge handoff.,Shared,3,ASSIST-AC-09;JIRA-CREATE-AC-01;WORK-AC-01;WORK-AC-02;WORK-AC-03;TASK-CANDIDATE-AC-02;TASK-CANDIDATE-AC-03;WORK-AC-04;WORK-AC-05;NEO-MCP-AC-02;NEO-MCP-AC-03;NEO-MCP-AC-04,
4.2,4.2 Three-product roles and my normal QuillBot day,252,"Three-product role split and the normal QuillBot day, including the exact cross-product handoffs and the Generic Manual Coding Intake.",Shared,2,NEO-MCP-AC-01;FORGE-HANDOFF-AC-01;FORGE-HANDOFF-AC-02;FORGE-AC-02;FORGE-AC-03;FORGE-AC-04,
5,5. Product A — {{FAMILY}} personal assistant,299,Product A container heading for the personal assistant; all substantive requirements live in subsections 5.1-5.8.,Assistant,1,,Container heading with no body text of its own.
5.1,5.1 Voice and presence,301,"Voice and presence: local wake/VAD/STT/TTS, wake phrase and double clap, presence never equals authorization, dictation.",Assistant,1,ASSIST-AC-01;ASSIST-AC-02;NATURAL-COMMAND-AC-01;PRESENCE-CONTROL-AC-01,
5.1.1,"5.1.1 Speaker identity, diarization, and governed voice adaptation",321,"Speaker identity, diarization and governed voice adaptation, separating four capabilities and forbidding silent biometric profiles.",Assistant,1,VOICE-AC-01;VOICE-AC-02;VOICE-AC-03;VOICE-AC-04;VOICE-AC-05;VOICE-AC-06;VOICE-AC-07;VOICE-AC-08;VOICE-AC-09;VOICE-AC-10;VOICE-AC-11;VOICE-AC-12,
5.2,5.2 Mac and application control,346,"Mac and application control ordered strategy: official API/App Intent, then DOM/Playwright, then accessibility, then governed vision.",Assistant,1,ASSIST-AC-03;MAC-TARGET-AC-01,
5.2.1,5.2.1 Complete Mac operator surface,389,Complete Mac operator surface and the versioned Host Capability Catalogue/Surface Test Matrix over a finite installed-surface universe.,Assistant,0A,MAC-COVERAGE-AC-01;PERSONAL-UTILITY-AC-01;MAC-TARGET-AC-02;MAC-FILES-AC-01;MAC-WEB-AC-01;MAC-CONTENT-AC-01;MAC-SYSTEM-AC-01;MAC-AUTOMATION-AC-01;MAC-A11Y-AC-01;MAC-RECOVERY-AC-01,
5.2.2,"5.2.2 Terminal, shell and process contract",413,"Terminal, shell and process contract treating the terminal as a structured privileged execution surface with exact target resolution.",Assistant,1,SAN-AC-12;TERMINAL-AC-01;TERMINAL-AC-02;TERMINAL-AC-03;DEV-SERVER-AC-01;TERMINAL-AC-04;TERMINAL-AC-05,
5.2.3,5.2.3 Atomic Action Catalogue and effect compiler,429,Atomic Action Catalogue and effect compiler generating one versioned machine-readable action universe with effect/risk classification.,Shared,0A,CAP-CATALOG-AC-01;DESTRUCTIVE-AC-01;REPRO-AC-01,
5.3,5.3 Wake-up and unlock experience,443,"Wake-up and unlock experience, the optional cinematic ceremony that never bypasses OS authentication, and optional gesture control.",Assistant,1,ASSIST-AC-01;VIDEO-AC-04;VIDEO-AC-06;CEREMONY-AC-01,
5.4,"5.4 Events, communications, and proactive work",457,"Events, communications and proactive work: signed least-scoped webhooks, versioned event envelopes, idempotent consumption.",Assistant,3,COMMAND-AC-05;ASSIST-AC-04;ASSIST-AC-05,
5.4.1,5.4.1 Universal Prepare → Preview → Approve → Commit contract,471,"Universal Prepare, Preview, Approve, Commit contract for every provider-visible or consequential outward effect.",Shared,3,COMM-DRAFT-AC-01;APPROVAL-BINDING-AC-01;OUTBOX-AC-01;JIRA-CREATE-AC-01,
5.4.2,5.4.2 Message-versus-task classification,487,"Message-versus-task classification into one advisory class with provenance, confidence and no authority granted.",Assistant,3,COMM-CLASSIFY-AC-01;TASK-CANDIDATE-AC-01;TASK-CANDIDATE-AC-02,
5.4.3,5.4.3 Cross-product Review Companion and Approval Capsule,495,"Cross-product Review Companion and Approval Capsule as one canonical review queue across menu bar, HUD, notifications, Command and phone.",Command,3,REVIEW-COMPANION-AC-01;REVIEW-COMPANION-AC-02,
5.5,5.5 Multi-agent collaboration,503,Multi-agent collaboration under one root Orchestrator that is the single conversational and operational core across all products.,Shared,1,SUITE-AC-04;FORGE-AC-09;AGENT-HANDOFF-AC-01,
5.5.1,"5.5.1 Stateful, governed Second Brain",507,"Stateful governed Second Brain: task/people/decision/memory graphs, cited recall, State Authority Matrix, ContextView, kill switch.",Shared,1,SUITE-AC-05;SUITE-AC-06;MEMORY-AC-01;MEMORY-AC-02;MEMORY-AC-03;MEMORY-AC-04;BRAIN-AC-01,
5.6,5.6 Cross-device and phone,555,"Cross-device and phone: Link as a core capability, capability-adaptive clients on every released platform, single-executor arbitration.",Link,6,SUITE-AC-04;XDEVICE-PRODUCT-AC-01;LINK-AC-01;LINK-AC-02;LINK-AC-03;LINK-AC-04;COMMAND-AC-04;ASSIST-AC-06;VAULT-AC-01;VIDEO-AC-12;DESIGN-XPLAT-AC-01,
5.7,"5.7 Flights, travel, groceries, purchases, and payment",568,"Flights, travel, groceries, purchases and payment as a late-phase prepare/commit capability with no autonomous financial commit.",Assistant,7,ASSIST-AC-07,
5.8,5.8 Command center and customization dashboard,585,"Command center and customization dashboard: terminology, registry-driven capability surface, device fleet, Attention Center, settings.",Command,1,SUITE-AC-05;SUITE-AC-08;COMMAND-AC-01;COMMAND-AC-02;COMMAND-AC-03;COMMAND-AC-04;COMMAND-AC-05;COMMAND-AC-06;COMMAND-AC-07;COMMAND-AC-08;COMMAND-AC-09;COMMAND-WORKSTATION-AC-01;VAULT-AC-03;VIDEO-AC-05;VIDEO-AC-11;BRAIN-AC-01,
6,6. Product B — {{FAMILY}} Forge,633,Product B container: a provider-neutral local-first coding agent and workspace without copying proprietary code or exact UI.,Forge,2,,
