seed_id,canonical_url,category,prompt_section_guess,assigned_lane,status,evidence_file,evidence_note,reason_if_not_researched,blocks_gate
S001,https://branddb.wipo.int/,trademark-registry,"Naming, philosophy, and clearance",L7b,inaccessible,research/L7b-brand-collisions.md,"L7b fetched branddb.wipo.int quicksearch; served an Altcha CAPTCHA widget. Not solved, not bypassed.","WIPO Global Brand DB is CAPTCHA-gated; L7b did not attempt a solve. Blocks the brand sub-gate, not Gate1/Gate2.",none
S002,https://claude.ai/code/artifact/5ee3a68b-36e2-4b1b-a1e2-0dd53906b36e,design-artifact,11.3.1 User-supplied motion references and frame-accounted video analysis,L4 / video-evidence,inaccessible,05-video-evidence-manifest.md,"Video-evidence manifest: Claude Artifacts x2 unique (3 submissions, 1 duplicated) are account-gated and were not analyzed.",Account-gated; no HTML/ZIP export supplied. Manifest states an export must be supplied if their design content matters.,Gate2
S003,https://claude.ai/code/artifact/7c874197-b99e-4e51-8d21-abc6712174a8,design-artifact,11.3.1 User-supplied motion references and frame-accounted video analysis,L4 / video-evidence,inaccessible,05-video-evidence-manifest.md,"Video-evidence manifest: Claude Artifacts x2 unique (3 submissions, 1 duplicated) are account-gated and were not analyzed.",Account-gated; no HTML/ZIP export supplied. Manifest states an export must be supplied if their design content matters.,Gate2
S004,https://cluely.com/,vendor-product-page,Meeting copilots and dictation (+2 more mentions),L3,researched,research/L3-meetings-voiceid.md,L3 s3.1 verified Cluely pricing (Free/$19.99/$149.99) and the undetectability claims from cluely.com/pricing + /undetectability.,,none
S005,https://cluely.com/mobile,vendor-product-page,Meeting copilots and dictation,L3,intentionally-deferred,research/L3-meetings-voiceid.md,Not fetched. L3 scoped Cluely to the pricing + undetectability evidence needed for its REJECTED-PATTERN verdict.,"L3 deliberately limited Cluely to the claims that carried the verdict; Cluely is rejected as a pattern, so deeper reads earn nothing.",none
S006,https://cluely.com/privacy-policy,vendor-product-page,Meeting copilots and dictation,L3,intentionally-deferred,research/L3-meetings-voiceid.md,Not fetched. L3 scoped Cluely to the pricing + undetectability evidence needed for its REJECTED-PATTERN verdict.,"L3 deliberately limited Cluely to the claims that carried the verdict; Cluely is rejected as a pattern, so deeper reads earn nothing.",none
S007,https://cluely.com/terms,vendor-product-page,Meeting copilots and dictation,L3,intentionally-deferred,research/L3-meetings-voiceid.md,Not fetched. L3 scoped Cluely to the pricing + undetectability evidence needed for its REJECTED-PATTERN verdict.,"L3 deliberately limited Cluely to the claims that carried the verdict; Cluely is rejected as a pattern, so deeper reads earn nothing.",none
S008,https://code.claude.com/docs/en/agent-sdk/session-storage,anthropic-docs,History and data controls,L9,researched,research/L9-platform-revalidation.md,L9 read code.claude.com/docs/en/agent-sdk/sessions: SDK listSessions()/getSessionMessages() plus a SessionStore adapter for shared backends.,,none
S009,https://code.claude.com/docs/en/artifacts,anthropic-docs,"Design, performance, privacy, and legal references",L4,researched,research/L4-design-research.md; research/L9-platform-revalidation.md,"L4 B1 verified the full artifact constraint set: static page, 16 MiB cap, strict CSP, Google Fonts only, connector calls via the viewer's account.",,none
S010,https://code.claude.com/docs/en/checkpointing,anthropic-docs,History and data controls,L9,researched,research/L9-platform-revalidation.md,"L9 verified checkpoints: rewind-only, 100 most recent per session, deleted with the session at 30 days, bash/subagent edits untracked.",,none
S011,https://code.claude.com/docs/en/memory,anthropic-docs,History and data controls,L9,researched,research/L9-platform-revalidation.md,"L9 verified CLAUDE.md/auto-memory: 200-line/25 KB index cap, /import from Cursor/Copilot, machine-local, not synced across machines.",,none
S012,https://code.claude.com/docs/en/skills,anthropic-docs,"Design, performance, privacy, and legal references",L9,researched,research/L9-platform-revalidation.md,"L9 verified SKILL.md dirs (personal/project/plugin), CLAUDE_CODE_SYNC_SKILLS, and the reserved 'synced' folder name.",,none
S013,https://code.visualstudio.com/docs/core-editor/overview,dev-tooling-docs,"Developer workstation, terminal, QA, CI, and infrastructure",(unassigned),intentionally-deferred,(none — no lane produced evidence for this URL),No lane owned the developer-workstation/terminal/QA/CI family; no lane read the VS Code editor overview.,"No Phase-0A lane was assigned the 'Developer workstation, terminal, QA, CI, and infrastructure' seed family. Phase-1 implementation reference.",none
S014,https://cursor.com/data-use,vendor-docs,History and data controls,L9,researched,research/L9-platform-revalidation.md,L9 verified cursor.com/data-use (updated 2026-07-15): no official chat/rules/config export; embeddings + filename metadata retained permanently.,,none
S015,https://cursor.com/docs/agent/overview,vendor-docs,"Design, performance, privacy, and legal references",L4,researched,research/L4-design-research.md,"L4 D4 verified Cursor Plan Mode from cursor.com/docs/agent/plan-mode (+ /agent/review, /cli/using): plans are editable, persistent markdown artifacts.",,none
